row_type,city,status,section_heading,raw_number,sentence,n_pipeline_only,n_b1_only,n_both,n_union,overlap_pct
diff,barcelona,b1_only,Types of Food Sharing Initiatives,5.1%,"Over half of all FSIs (123, 51.9%) emphasize sustainability, suggesting a strong alignment with environmental goals, while only 12 (5.1%) integrate formal educational components, highlighting a gap between practical initiatives and structured learning opportunities.",,,,,
diff,brighton,pipeline_only,Digital Presence and Accessibility,61,"The data reveals contrasts between FSIs with and without structured operational timelines: those listing hours or frequency (15 FSIs) may cater to more predictable demand, while the remaining 61 FSIs lack such information, potentially complicating resource allocation or user planning.",,,,,
diff,brighton,pipeline_only,Geographic Distribution,10%,"BN2, designated as a green (high-density) district, contains the highest concentration of FSIs, accounting for 60% of the total, while BN3, a red (low-density) district, holds the fewest at 10%.",,,,,
diff,brighton,pipeline_only,Geographic Distribution,29%,"BN1, classified as yellow (medium-density), hosts 22 FSIs, which is 29% of the total, suggesting a moderate but significant presence.",,,,,
diff,brighton,pipeline_only,Geographic Distribution,60%,"BN2, designated as a green (high-density) district, contains the highest concentration of FSIs, accounting for 60% of the total, while BN3, a red (low-density) district, holds the fewest at 10%.",,,,,
diff,brighton,pipeline_only,Notable Initiatives,60%,"Brighton & Hove hosts 76 Food Sharing Initiatives (FSIs) in total, with the highest concentration found in the BN2 district, which alone accounts for 46 FSIs—nearly 60% of the total.",,,,,
diff,brighton,pipeline_only,Operational and Funding Models,1,"Council-supported initiatives account for 6 (8%), while government-funded and NGO-led FSIs are minimal, at 2 (3%) and 1 (1%) respectively, highlighting a lack of formal institutional backing.",,,,,
diff,brighton,pipeline_only,Operational and Funding Models,1%,"Council-supported initiatives account for 6 (8%), while government-funded and NGO-led FSIs are minimal, at 2 (3%) and 1 (1%) respectively, highlighting a lack of formal institutional backing.",,,,,
diff,brighton,pipeline_only,Operational and Funding Models,3%,"Council-supported initiatives account for 6 (8%), while government-funded and NGO-led FSIs are minimal, at 2 (3%) and 1 (1%) respectively, highlighting a lack of formal institutional backing.",,,,,
diff,brighton,pipeline_only,Operational and Funding Models,8%,"Council-supported initiatives account for 6 (8%), while government-funded and NGO-led FSIs are minimal, at 2 (3%) and 1 (1%) respectively, highlighting a lack of formal institutional backing.",,,,,
diff,brighton,pipeline_only,Reach and Activity,"10,000","The In the Bag Project, for example, reaches 10,000+ individuals through food banks, highlighting the capacity of high-activity FSIs to scale outreach.",,,,,
diff,brighton,pipeline_only,Reach and Activity,26%,"High-activity FSIs account for 26% of total initiatives but contribute disproportionately to food redistribution, reflecting their focus on frequent, large-scale operations.",,,,,
diff,brighton,pipeline_only,Reach and Activity,36%,"Medium-activity FSIs represent 36% of initiatives, balancing reach and resource use, while low-activity FSIs, comprising 38% of initiatives, likely prioritize localized or niche efforts.",,,,,
diff,brighton,pipeline_only,Reach and Activity,38%,"Medium-activity FSIs represent 36% of initiatives, balancing reach and resource use, while low-activity FSIs, comprising 38% of initiatives, likely prioritize localized or niche efforts.",,,,,
diff,brighton,pipeline_only,Reach and Activity,60%,"Collaborations with farms and stores, present in nearly 60% of FSIs, likely enhance resource availability but may also create dependencies on commercial partners for consistent food supply.",,,,,
diff,brighton,b1_only,Digital Presence and Accessibility,20,"Among the 35 FSIs with online coordination, 15 also list operating hours, implying a correlation between structured schedules and digital transparency, whereas the remaining 20 may rely on informal or volunteer-driven timelines.",,,,,
diff,brighton,b1_only,Types of Food Sharing Initiatives,2,"In contrast, food_bank initiatives, though fewer in number, are less likely to prioritise sustainability (only 2 of 8, 25%) but more likely to focus on immediate food distribution.",,,,,
diff,brighton,b1_only,Types of Food Sharing Initiatives,2,"The presence of 4 FSIs with unknown classifications underscores gaps in data collection, while the 2 food_gifting and 2 food_education initiatives suggest niche but distinct approaches.",,,,,
diff,brighton,b1_only,Types of Food Sharing Initiatives,25%,"In contrast, food_bank initiatives, though fewer in number, are less likely to prioritise sustainability (only 2 of 8, 25%) but more likely to focus on immediate food distribution.",,,,,
diff,brighton,b1_only,Types of Food Sharing Initiatives,4,"Community_garden initiatives, meanwhile, show a higher overlap with sustainability (6 of 8, 75%) but lower integration of educational components (4 of 8, 50%).",,,,,
diff,brighton,b1_only,Types of Food Sharing Initiatives,4,"The presence of 4 FSIs with unknown classifications underscores gaps in data collection, while the 2 food_gifting and 2 food_education initiatives suggest niche but distinct approaches.",,,,,
diff,brighton,b1_only,Types of Food Sharing Initiatives,50%,"Community_garden initiatives, meanwhile, show a higher overlap with sustainability (6 of 8, 75%) but lower integration of educational components (4 of 8, 50%).",,,,,
diff,brighton,b1_only,Types of Food Sharing Initiatives,6,"Community_garden initiatives, meanwhile, show a higher overlap with sustainability (6 of 8, 75%) but lower integration of educational components (4 of 8, 50%).",,,,,
diff,brighton,b1_only,Types of Food Sharing Initiatives,66.7%,"Among sub-groups, food_sharing initiatives are most likely to combine sustainability and educational elements, as 34 of the 51 (66.7%) have sustainability focus and 36 of the 51 (70.6%) include educational components.",,,,,
diff,brighton,b1_only,Types of Food Sharing Initiatives,70.6%,"Among sub-groups, food_sharing initiatives are most likely to combine sustainability and educational elements, as 34 of the 51 (66.7%) have sustainability focus and 36 of the 51 (70.6%) include educational components.",,,,,
diff,brighton,b1_only,Types of Food Sharing Initiatives,75%,"Community_garden initiatives, meanwhile, show a higher overlap with sustainability (6 of 8, 75%) but lower integration of educational components (4 of 8, 50%).",,,,,
diff,dublin,pipeline_only,Geographic Distribution,1,"The absence of per capita FSI density data limits deeper analysis of equity in access, but the stark contrast between districts with 15 FSIs and those with only 1 implies uneven resource allocation or differing community engagement levels.",,,,,
diff,dublin,pipeline_only,Geographic Distribution,37,"Green (high-density) districts, including Dublin 2, Dublin 1, and Dublin 12, collectively host 37 FSIs, or 54% of the total, while red (low-density) districts—such as Dublin 6W, Glenageary, and Swords—each contain only one FSI, highlighting stark disparities in initiative distribution.",,,,,
diff,dublin,pipeline_only,Geographic Distribution,54%,"Green (high-density) districts, including Dublin 2, Dublin 1, and Dublin 12, collectively host 37 FSIs, or 54% of the total, while red (low-density) districts—such as Dublin 6W, Glenageary, and Swords—each contain only one FSI, highlighting stark disparities in initiative distribution.",,,,,
diff,dublin,pipeline_only,Notable Initiatives,32,"These districts collectively account for 32 of the 69 FSIs, highlighting a regional imbalance in distribution.",,,,,
diff,dublin,pipeline_only,Operational and Funding Models,23,"Dublin hosts 69 Food Sharing Initiatives (FSIs), with 46 being community-led (grassroots) and the remaining 23 supported by government or local councils.",,,,,
diff,dublin,pipeline_only,Reach and Activity,19,"In contrast, fewer FSIs explicitly target low-income populations (7) or children (19), suggesting potential gaps in addressing specific vulnerable groups.",,,,,
diff,dublin,pipeline_only,Types of Food Sharing Initiatives,2,"The presence of 37 FSIs organizing events or workshops contrasts with the minimal representation of food_education (2) and food_gifting (1) initiatives, suggesting that while educational and gifting models exist, they are not as widely adopted.",,,,,
diff,dublin,b1_only,Geographic Distribution,2,"Dublin 10 (2 FSIs) and Dublin 24 (2 FSIs), both yellow districts, demonstrate that even medium-density areas show variability in FSI presence, potentially influenced by local infrastructure or community engagement.",,,,,
diff,dublin,b1_only,Geographic Distribution,34%,"These three districts account for 34% of all FSIs in the city, reflecting a clear spatial clustering in central and north-eastern areas.",,,,,
diff,dublin,b1_only,Geographic Distribution,42,"Green (high-density) districts—Dublin 2, Dublin 1, Dublin 12, Dublin 8, and Dublin 11—collectively host 42 FSIs, while red (low-density) districts—such as Dublin 6W, Glenageary, and Swords—contain only six FSIs in total, with three of these districts having just one FSI each.",,,,,
diff,dublin,b1_only,Notable Initiatives,11,"Dublin 2’s 15 FSIs include a disproportionately high number of event-organizing initiatives compared to other districts, with 11 of its FSIs actively hosting events, whereas Dublin 12’s 5 FSIs include only 2 event organizers.",,,,,
diff,dublin,b1_only,Notable Initiatives,2,"Dublin 2’s 15 FSIs include a disproportionately high number of event-organizing initiatives compared to other districts, with 11 of its FSIs actively hosting events, whereas Dublin 12’s 5 FSIs include only 2 event organizers.",,,,,
diff,dublin,b1_only,Notable Initiatives,37%,"These districts collectively represent 37% of all FSIs in the dataset, indicating a strong regional focus on food redistribution and community engagement.",,,,,
diff,dublin,b1_only,Notable Initiatives,45%,"The data also reveals that 45% of all FSIs (31 out of 69) focus on education, a figure significantly higher than the 54% (37 out of 69) that organize events, suggesting a stronger institutional commitment to long-term awareness over immediate action.",,,,,
diff,dublin,b1_only,Notable Initiatives,54%,"The data also reveals that 45% of all FSIs (31 out of 69) focus on education, a figure significantly higher than the 54% (37 out of 69) that organize events, suggesting a stronger institutional commitment to long-term awareness over immediate action.",,,,,
diff,dublin,b1_only,Notable Initiatives,7,"Meanwhile, Dublin 1’s 12 FSIs show a balanced mix of educational and event-based initiatives, with 7 incorporating educational components, compared to Dublin 2’s 9 educational FSIs.",,,,,
diff,dublin,b1_only,Notable Initiatives,9,"Meanwhile, Dublin 1’s 12 FSIs show a balanced mix of educational and event-based initiatives, with 7 incorporating educational components, compared to Dublin 2’s 9 educational FSIs.",,,,,
diff,dublin,b1_only,Reach and Activity,15,"In contrast, only 7 FSIs specifically target low-income populations, and 15 focus on students, revealing a gap in addressing food insecurity among economically vulnerable groups.",,,,,
diff,dublin,b1_only,Types of Food Sharing Initiatives,11,"Sustainability-focused initiatives are more prevalent in food_sharing (22 of 34) and community_gardens (11 of 25) compared to food_banks (3 of 5), reflecting differing priorities across sectors.",,,,,
diff,dublin,b1_only,Types of Food Sharing Initiatives,18,"Educational components are most common in food_education (both initiatives) and food_sharing (18 of 34), but absent in food_gifting and food_service.",,,,,
diff,dublin,b1_only,Types of Food Sharing Initiatives,22,"Sustainability-focused initiatives are more prevalent in food_sharing (22 of 34) and community_gardens (11 of 25) compared to food_banks (3 of 5), reflecting differing priorities across sectors.",,,,,
diff,dublin,b1_only,Types of Food Sharing Initiatives,3,"Sustainability-focused initiatives are more prevalent in food_sharing (22 of 34) and community_gardens (11 of 25) compared to food_banks (3 of 5), reflecting differing priorities across sectors.",,,,,
diff,london,pipeline_only,Geographic Distribution,0.004,"For instance, Westminster’s 33 FSIs equate to 1.5 initiatives per 1,000 residents (assuming a population of 220,000), whereas Lewisham’s single FSI represents 0.004 initiatives per 1,000 residents (assuming a population of 330,000), though per capita metrics remain unverified due to data gaps.",,,,,
diff,london,pipeline_only,Geographic Distribution,"1,000","For instance, Westminster’s 33 FSIs equate to 1.5 initiatives per 1,000 residents (assuming a population of 220,000), whereas Lewisham’s single FSI represents 0.004 initiatives per 1,000 residents (assuming a population of 330,000), though per capita metrics remain unverified due to data gaps.",,,,,
diff,london,pipeline_only,Geographic Distribution,1.5,"For instance, Westminster’s 33 FSIs equate to 1.5 initiatives per 1,000 residents (assuming a population of 220,000), whereas Lewisham’s single FSI represents 0.004 initiatives per 1,000 residents (assuming a population of 330,000), though per capita metrics remain unverified due to data gaps.",,,,,
diff,london,pipeline_only,Geographic Distribution,10.2%,"Green (high-density) districts, including Westminster, Tower Hamlets, and Lambeth, collectively host 54.7% of all FSIs, while red (low-density) districts, despite comprising 40.5% of the 22 districts, contain only 10.2% of initiatives.",,,,,
diff,london,pipeline_only,Geographic Distribution,2,"Yellow (medium-density) districts, such as Islington and Waltham Forest, host 4 and 2 initiatives respectively, occupying a middle ground between green and red categories.",,,,,
diff,london,pipeline_only,Geographic Distribution,2.5,"The data reveals a marked contrast between high- and low-density districts, with green areas hosting 2.5 times more FSIs per district than red areas.",,,,,
diff,london,pipeline_only,Geographic Distribution,"220,000","For instance, Westminster’s 33 FSIs equate to 1.5 initiatives per 1,000 residents (assuming a population of 220,000), whereas Lewisham’s single FSI represents 0.004 initiatives per 1,000 residents (assuming a population of 330,000), though per capita metrics remain unverified due to data gaps.",,,,,
diff,london,pipeline_only,Geographic Distribution,"330,000","For instance, Westminster’s 33 FSIs equate to 1.5 initiatives per 1,000 residents (assuming a population of 220,000), whereas Lewisham’s single FSI represents 0.004 initiatives per 1,000 residents (assuming a population of 330,000), though per capita metrics remain unverified due to data gaps.",,,,,
diff,london,pipeline_only,Geographic Distribution,4,"Yellow (medium-density) districts, such as Islington and Waltham Forest, host 4 and 2 initiatives respectively, occupying a middle ground between green and red categories.",,,,,
diff,london,pipeline_only,Geographic Distribution,40.5%,"Green (high-density) districts, including Westminster, Tower Hamlets, and Lambeth, collectively host 54.7% of all FSIs, while red (low-density) districts, despite comprising 40.5% of the 22 districts, contain only 10.2% of initiatives.",,,,,
diff,london,pipeline_only,Geographic Distribution,49.1%,"These top three districts account for 49.1% of all FSIs, highlighting a stark imbalance in distribution.",,,,,
diff,london,pipeline_only,Geographic Distribution,54.7%,"Green (high-density) districts, including Westminster, Tower Hamlets, and Lambeth, collectively host 54.7% of all FSIs, while red (low-density) districts, despite comprising 40.5% of the 22 districts, contain only 10.2% of initiatives.",,,,,
diff,london,pipeline_only,Types of Food Sharing Initiatives,52%,"Notably, 63 FSIs (59.4%) host events or workshops, a rate significantly higher than the 52% with educational components, implying that experiential engagement is a key feature of many initiatives.",,,,,
diff,london,b1_only,Geographic Distribution,14,"These patterns align with the classification of districts into high-density (green), medium-density (yellow), and low-density (red) categories, where green districts collectively host 78 FSIs, compared to 14 in yellow and 14 in red.",,,,,
diff,london,b1_only,Geographic Distribution,14,"Yellow districts, such as Islington and Haringey, host 14 FSIs, reflecting moderate engagement, while red districts, including Ealing and Enfield, have the lowest numbers, with each containing only one FSI.",,,,,
diff,london,b1_only,Geographic Distribution,50,"London hosts 106 Food Sharing Initiatives (FSIs) across 22 postal districts, with Westminster, Tower Hamlets, and Lambeth collectively accounting for 50 of these, representing the highest concentration in the city.",,,,,
diff,london,b1_only,Geographic Distribution,73.6%,"Green districts, which include Westminster, Tower Hamlets, and Lambeth, dominate FSI density, with their combined 78 initiatives accounting for 73.6% of all FSIs in London.",,,,,
diff,london,b1_only,Geographic Distribution,78,"These patterns align with the classification of districts into high-density (green), medium-density (yellow), and low-density (red) categories, where green districts collectively host 78 FSIs, compared to 14 in yellow and 14 in red.",,,,,
diff,london,b1_only,Geographic Distribution,78,"Green districts, which include Westminster, Tower Hamlets, and Lambeth, dominate FSI density, with their combined 78 initiatives accounting for 73.6% of all FSIs in London.",,,,,
diff,london,b1_only,Notable Initiatives,19,"The overlap between FSIs with educational components (52) and those organising events (63) suggests that 19 initiatives likely combine both functions, potentially enhancing their impact through multifaceted engagement.",,,,,
diff,london,b1_only,Types of Food Sharing Initiatives,10.4%,"The remaining initiatives are distributed across less common categories, including food gifting (6, 5.7%) and food swapping (5, 4.7%), which together account for 10.4% of the total.",,,,,
diff,london,b1_only,Types of Food Sharing Initiatives,4.7%,"The remaining initiatives are distributed across less common categories, including food gifting (6, 5.7%) and food swapping (5, 4.7%), which together account for 10.4% of the total.",,,,,
diff,london,b1_only,Types of Food Sharing Initiatives,5,"The remaining initiatives are distributed across less common categories, including food gifting (6, 5.7%) and food swapping (5, 4.7%), which together account for 10.4% of the total.",,,,,
diff,milan,pipeline_only,Notable Initiatives,24%,"Notably, 24% of all FSIs (34/147) operate in districts with the highest FSI density, suggesting clustering in areas with greater infrastructure or social demand.",,,,,
diff,milan,pipeline_only,Notable Initiatives,34,"Notably, 24% of all FSIs (34/147) operate in districts with the highest FSI density, suggesting clustering in areas with greater infrastructure or social demand.",,,,,
diff,milan,pipeline_only,Operational and Funding Models,5,"Notably, 5 FSIs explicitly mention reliance on crowdfunding or donations, while none are volunteer-based, underscoring the dominance of structured organizational models over informal participation.",,,,,
diff,milan,b1_only,Geographic Distribution,12,"Yellow districts (Municipio 3, 2, 6), which contain 14, 14, and 12 FSIs respectively, show moderate density but lack the concentration seen in green areas.",,,,,
diff,milan,b1_only,Geographic Distribution,65,"These three districts, designated as ""green"" (high-density) areas, collectively house 65 FSIs, reflecting a marked disparity in initiative distribution compared to other districts.",,,,,
diff,milan,b1_only,Notable Initiatives,11,"Municipio 1, home to 28 FSIs, outpaces the combined total of Municipio 5 and 9 (37 FSIs) by 11 initiatives, indicating a disproportionately high level of activity in this district.",,,,,
diff,milan,b1_only,Notable Initiatives,37,"Municipio 1, home to 28 FSIs, outpaces the combined total of Municipio 5 and 9 (37 FSIs) by 11 initiatives, indicating a disproportionately high level of activity in this district.",,,,,
diff,milan,b1_only,Notable Initiatives,70.7%,"Of these, 104 FSIs (70.7% of the total) are classified as high-popularity, indicating widespread engagement or visibility.",,,,,
diff,milan,b1_only,Operational and Funding Models,43%,"Of these, 63 are NGO-led, accounting for 43% of all FSIs, while 21 are community-led grassroots projects, reflecting a strong emphasis on local participation.",,,,,
diff,milan,b1_only,Reach and Activity,147,"Milan hosts 147 Food Sharing Initiatives (FSIs), with 104 classified as high activity and 43 as low activity, indicating a significant disparity in operational intensity.",,,,,
diff,milan,b1_only,Types of Food Sharing Initiatives,0.7%,"The distribution of FSIs by type reveals contrasts in focus and scale: while ""other"" initiatives dominate, niche categories like food gifting (2, 1.4%) and food swapping (1, 0.7%) remain rare, suggesting limited formalization of these practices.",,,,,
diff,milan,b1_only,Types of Food Sharing Initiatives,1,"The distribution of FSIs by type reveals contrasts in focus and scale: while ""other"" initiatives dominate, niche categories like food gifting (2, 1.4%) and food swapping (1, 0.7%) remain rare, suggesting limited formalization of these practices.",,,,,
diff,milan,b1_only,Types of Food Sharing Initiatives,1.4%,"The distribution of FSIs by type reveals contrasts in focus and scale: while ""other"" initiatives dominate, niche categories like food gifting (2, 1.4%) and food swapping (1, 0.7%) remain rare, suggesting limited formalization of these practices.",,,,,
diff,milan,b1_only,Types of Food Sharing Initiatives,14,"Food banks constitute the second-largest group (26, 17.7%), followed by community gardens (17, 11.6%) and food-sharing programs (14, 9.5%).",,,,,
diff,milan,b1_only,Types of Food Sharing Initiatives,2,"The distribution of FSIs by type reveals contrasts in focus and scale: while ""other"" initiatives dominate, niche categories like food gifting (2, 1.4%) and food swapping (1, 0.7%) remain rare, suggesting limited formalization of these practices.",,,,,
diff,milan,b1_only,Types of Food Sharing Initiatives,9.5%,"Food banks constitute the second-largest group (26, 17.7%), followed by community gardens (17, 11.6%) and food-sharing programs (14, 9.5%).",,,,,
