# Supersedes e2_flags.csv. CS-1/CS-4 widened to match count/percentage
# phrasings used by all four systems; number tokeniser corrected for
# delimiter commas. Covers pipeline, b1, baseline (v1), baseline_v2.
city,system,check,section_heading,sentence,detail,VERDICT,NOTE
london,b1,CS-5,Geographic Distribution,The absence of census-based population data further complicates assessments of FSI reach and impact across different demographic groups.,"matched forbidden-basis phrase: 'census' (src/phase_5/text_synthesizer.py:38,109)",FP,"the sentence does not produce a number, or any claim, it states what it should which is it can not compute because of lack of per capita in the data"
london,b1,CS-1,Types of Food Sharing Initiatives,"Community gardens and food banks dominate the landscape, but sub-group analysis reveals contrasts in focus: while 56 FSIs prioritise sustainability, only 17 (16.0%) are explicitly food banks, suggesting that many sustainability-focused initiatives may overlap with other functions.","stated 56 (16.0%) vs report total=106: predicted 52.83%, diff 36.83pp (tol 0.55pp)",FP,16% matches the number of foodbanks (17 out of 106) which is a correct claim 
milan,pipeline,CS-4,Geographic Distribution,"Milan hosts 147 Food Sharing Initiatives (FSIs) across nine postal districts, with the highest concentrations in Municipio 1 (28 FSIs), Municipio 5 (22 FSIs), and Municipio 9 (15 FSIs), which collectively account for 34% of all initiatives.","constituents (28+22+15)=sum 65, total=147: predicted 44.22%, claimed 34%, diff 10.22pp (tol 0.55pp)",TP,
milan,pipeline,CS-5,Geographic Distribution,"This gradient suggests a correlation between district classification and initiative density, though the data gap regarding per capita FSI density—dependent on census population data—limits conclusions about equity in access.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",FP,"the sentence does not produce a number, or any claim, it states what it should which is it can not compute because of lack of per capita in the data"
milan,pipeline,CS-5,Geographic Distribution,"This gradient suggests a correlation between district classification and initiative density, though the data gap regarding per capita FSI density—dependent on census population data—limits conclusions about equity in access.","matched forbidden-basis phrase: 'census population' (src/phase_5/text_synthesizer.py:38,109)",FP,"the sentence does not produce a number, or any claim, it states what it should which is it can not compute because of lack of per capita in the data"
milan,pipeline,CS-2,Types of Food Sharing Initiatives,"Over half of all FSIs (71, 48.3%) incorporate sustainability as a core focus, while 24 (16.3%) integrate educational components, reflecting a growing emphasis on environmental and social learning.",keyword 'Over half' near 71 -> 48.30% of total=147 (<=50%),TP,
milan,pipeline,CS-2,Reach and Activity,"Milan hosts 104 high-activity food sharing initiatives (FSIs), representing the majority of all quantified FSIs in the city, while 43 low-activity FSIs remain operational, indicating a stark disparity in engagement levels.",keyword 'majority' near 43 -> 29.25% of total=147 (<=50%),TP,
milan,pipeline,CS-2,Reach and Activity,"Among target audiences, elderly-focused initiatives are most prevalent, with 32 FSIs explicitly mentioning this group, followed by students (14) and general audiences (8), while only 2 FSIs target children.",keyword 'most' near 32 -> 21.77% of total=147 (<=50%),TP,
milan,b1,CS-4,Geographic Distribution,"Milan hosts 147 Food Sharing Initiatives (FSIs) across its nine postal districts, with the highest concentrations found in Municipio 1 (28 FSIs), Municipio 5 (22 FSIs), and Municipio 9 (15 FSIs), which together account for 34% of all FSIs in the city.","constituents (28+22+15)=sum 65, total=147: predicted 44.22%, claimed 34%, diff 10.22pp (tol 0.55pp)",TP,
milan,b1,CS-5,Geographic Distribution,"The spatial clustering of FSIs in green districts suggests a correlation between urban density and the prevalence of such initiatives, though this relationship remains unquantified due to missing per capita data.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",FP,"the sentence does not produce a number, or any claim, it states what it should which is it can not compute because of lack of per capita in the data"
milan,b1,CS-5,Geographic Distribution,"The absence of districts with only one FSI highlights a citywide trend of clustered rather than isolated initiatives, though the lack of population data prevents analysis of per capita participation rates.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",FP,"the sentence does not produce a number, or any claim, it states what it should which is it can not compute because of lack of per capita in the data"
milan,b1,CS-2,Types of Food Sharing Initiatives,"Milan hosts 147 Food Sharing Initiatives (FSIs), with the majority (50, or 34.0%) categorized as ""other,"" reflecting a broad and diverse range of activities beyond formal food redistribution.",keyword 'majority' near 50 -> 34.01% of total=147 (<=50%),TP,
