URL,Lat,Lon
https://www.rbkc.gov.uk/environment/ecology-biodiversity-and-nature-conservation/community-gardens,51.51,-0.17
https://www.spitalfieldscityfarm.org/growing,51.52,-0.06
https://londonfarmsandgardens.org.uk/community-gardens-and-growing,51.52,-0.06
https://www.npfoodbank.org.uk,51.52,-0.19
https://www.wen.org.uk/limborough-food-hub,51.52,-0.07
https://sthildas.org.uk/projects/food-coop,51.52,-0.07
https://justfact.co.uk/project/limborough-community-food-hub,51.52,-0.07
https://www.goodtogrowuk.org,51.52,-0.08
https://www.slpt.org.uk/support-service/wellbeing-hub-south-islington,51.52,-0.09
https://thefelixproject.org,51.53,-0.28
https://www.bowfoodbank.org,51.53,-0.03
https://www.growingkitchen.org,51.53,-0.09
https://www.cookforgood.uk/community-meals,51.53,-0.11
https://families.newham.gov.uk/kb5/newham/directory/service.page?id=DQgbO1ahIJ0&familychannel=2-6,51.53,0.04
https://www.islingtonfoodpartnership.org.uk/community-food-services,51.53,-0.10
https://londonirishcentre.org/our-services/community-development/community-fridge,51.54,-0.13
https://eat-club.org/hackney-community-kitchens,51.54,-0.07
https://www.sufra-nwlondon.org.uk/our-services/community-garden,51.54,-0.26
https://westhampsteadcommunityfoodhub.org,51.54,-0.19
https://www.mildmaycommunitycentre.org/food,51.55,-0.08
https://www.facebook.com/CooperationTown,51.55,-0.15
https://www.walthamforest.gov.uk/health-and-wellbeing/support-and-community-services-your-area/farm-community-kitchen,51.55,0.00
https://www.transitionleytonstone.org.uk/community-fridge,51.56,0.01
https://omvedgardens.com/kitchen-garden-guides/seed-saving,51.57,-0.14
https://ediblelandscapeslondon.org.uk/about-us,51.57,-0.09
https://www.freedomsark.org/community-projects/the-community-food-hub,51.58,0.07
https://www.enfield.gov.uk/services/your-council/community-hubs-and-food-pantry,51.65,-0.06
https://www.yourlocalpantry.co.uk,52.47,-2.03
https://maps.transitionnetwork.org/group/transition-newham,53.33,-6.24
https://www.sustainablefoodplaces.org/blogs/jan24-find-a-seed-swap-near-you,,
https://www.ucl.ac.uk/sustainable/case-studies/2022/jul/community-growing-projects,,
https://apps.apple.com/gb/app/too-good-to-go-end-food-waste/id1060683933,,
https://www.towerhamlets.gov.uk/lgnl/advice_and_benefits/cost-of-living/Help-with-food.aspx,,
https://theseeddetective.co.uk/seed-list,,
https://outofmyshed.co.uk/2012/09/23/collecting-seeds-pros-and-cons,,
https://www.lendandtend.com/lend-and-tend-blog/mouthy-money,,
https://www.southwarkandlondoncommunitykitchen.co.uk,,
https://globalplantkitchens.org/stories/what-is-a-vegan-community-kitchen,,
https://www.migrateful.org,,
https://www.gccrc.ca/foodhub,,
https://refugeecommunitykitchen.org/uk-outreach,,
https://www.kcl.ac.uk/research/community-fridge,,
https://cityharvest.org.uk,,
https://ediblelondon.org/support-us,,
https://hackneycityfarm.co.uk/projects/food-hub,,
https://www.justgiving.com/campaign/whcfh,,
https://www.kccf.org.uk/coronation-food-project,,
https://planzheroes.org,,
https://www.redmondcommunitycentre.com/community-fridge,,
https://www.sustainablemerton.org/communityfridge,,
https://www.trussell.org.uk,,
https://relondon.gov.uk/resources/circular-food-pioneer-projects,,
https://www.communityfridgelondon.com,,
https://millydays.org.uk/millygiveaway,,
https://www.xcess.org.uk,,
https://www.edenprojectcommunities.com/the-big-lunch,,
https://www.cordwainersgrow.org.uk/seeds-saving-swapping-growing,,
https://www.moruslondinium.org/foraging,,
https://www.incredibleediblelambeth.org/seed-swap-and-a-tribute-to-esiah-levy,,
https://www.cfgn.org.uk/how-we-work/our-members,,
https://www.foragelondon.co.uk/the-edible-city-september,,
https://notahorticulturist.com/2020/02/28/go-to-or-organise-a-seed-swap,,
https://solarpunkstories.substack.com/p/solarpunk-sharing-gardens,,
https://www.seeds4all.eu/seed-operators/united-kingdom/london-freedom-seed-bank,,
https://www.londonscommunitykitchen.co.uk,,
https://gleaning.feedbackglobal.org/go-gleaning,,
https://wefeedtheuk.org/event/food-justice-billboards,,
https://abundancedancegarden.wordpress.com/2015/03/28/seed-saving-for-beginners,,
https://londonfreedomseedbank.wordpress.com/category/raising-awareness,,
https://www.sanford.coop/node/27,,
https://www.ukharvest.org.uk,,
